Time,Accusation,Anger,Disgust,Fear,Happiness,No Emotion,Sadness,Surprise
18:01:00,118,118,116,78,122,196,56,116
18:16:00,106,106,174,104,118,158,94,146
18:31:00,114,114,130,108,116,158,106,94
18:46:00,58,58,54,68,68,77,64,62
19:01:00,112,112,88,106,124,93,92,52
19:16:00,120,120,106,90,120,83,102,118
19:31:00,46,46,50,70,84,72,62,54
19:46:00,64,64,62,52,68,54,62,52
20:07:00,82,59,96,78,110,98,68,68
20:18:00,62,62,50,58,52,50,42,32
20:33:00,46,46,48,54,62,50,50,44
20:48:00,90,90,88,94,72,120,70,90
21:03:00,48,48,80,56,74,112,48,64
21:18:00,53,53,91,52,51,96,42,32
21:33:00,17,17,36,29,16,39,26,16
21:48:00,19,19,24,22,22,47,17,16
22:03:00,22,22,51,45,32,69,26,42
