emotion,time,number of messages
accusation,18:01:00,118
accusation,19:01:00,106
accusation,20:01:00,114
accusation,21:01:00,58
accusation,22:01:00,112
accusation,23:01:00,120
accusation,0:01:00,46
accusation,1:01:00,64
accusation,2:01:00,0
accusation,3:01:00,0
accusation,4:01:00,0
accusation,5:01:00,62
accusation,6:01:00,46
accusation,7:01:00,90
accusation,8:01:00,48
accusation,9:01:00,53
accusation,10:01:00,17
accusation,11:01:00,19
accusation,12:01:00,22
anger,13:01:00,118
anger,14:01:00,106
anger,15:01:00,114
anger,16:01:00,58
anger,17:01:00,112
anger,18:01:00,120
anger,19:01:00,46
anger,20:01:00,64
anger,21:01:00,0
anger,22:01:00,0
anger,23:01:00,0
anger,0:01:00,62
anger,1:01:00,46
anger,2:01:00,90
anger,3:01:00,48
anger,4:01:00,53
anger,5:01:00,17
anger,6:01:00,19
anger,7:01:00,22
disgust,8:01:00,116
disgust,9:01:00,174
disgust,10:01:00,130
disgust,11:01:00,54
disgust,12:01:00,88
disgust,13:01:00,106
disgust,14:01:00,50
disgust,15:01:00,62
disgust,16:01:00,0
disgust,17:01:00,0
disgust,18:01:00,0
disgust,19:01:00,50
disgust,20:01:00,48
disgust,21:01:00,88
disgust,22:01:00,80
disgust,23:01:00,91
disgust,0:01:00,36
disgust,1:01:00,24
disgust,2:01:00,51
fear,3:01:00,78
fear,4:01:00,104
fear,5:01:00,108
fear,6:01:00,68
fear,7:01:00,106
fear,8:01:00,90
fear,9:01:00,70
fear,10:01:00,52
fear,11:01:00,0
fear,12:01:00,0
fear,13:01:00,0
fear,14:01:00,58
fear,15:01:00,54
fear,16:01:00,94
fear,17:01:00,56
fear,18:01:00,52
fear,19:01:00,29
fear,20:01:00,22
fear,21:01:00,45
happiness,22:01:00,122
happiness,23:01:00,118
happiness,0:01:00,116
happiness,1:01:00,68
happiness,2:01:00,124
happiness,3:01:00,120
happiness,4:01:00,84
happiness,5:01:00,68
happiness,6:01:00,0
happiness,7:01:00,0
happiness,8:01:00,0
happiness,9:01:00,52
happiness,10:01:00,62
happiness,11:01:00,72
happiness,12:01:00,74
happiness,13:01:00,51
happiness,14:01:00,16
happiness,15:01:00,22
happiness,16:01:00,32
no,17:01:00,196
no,18:01:00,158
no,19:01:00,158
no,20:01:00,77
no,21:01:00,93
no,22:01:00,83
no,23:01:00,72
no,0:01:00,54
no,1:01:00,0
no,2:01:00,0
no,3:01:00,0
no,4:01:00,50
no,5:01:00,50
no,6:01:00,120
no,7:01:00,112
no,8:01:00,96
no,9:01:00,39
no,10:01:00,47
no,11:01:00,69
sadness,12:01:00,56
sadness,13:01:00,94
sadness,14:01:00,106
sadness,15:01:00,64
sadness,16:01:00,92
sadness,17:01:00,102
sadness,18:01:00,62
sadness,19:01:00,62
sadness,20:01:00,0
sadness,21:01:00,0
sadness,22:01:00,0
sadness,23:01:00,42
sadness,0:01:00,50
sadness,1:01:00,70
sadness,2:01:00,48
sadness,3:01:00,42
sadness,4:01:00,26
sadness,5:01:00,17
sadness,6:01:00,26
surprise,7:01:00,116
surprise,8:01:00,146
surprise,9:01:00,94
surprise,10:01:00,62
surprise,11:01:00,52
surprise,12:01:00,118
surprise,13:01:00,54
surprise,14:01:00,52
surprise,15:01:00,0
surprise,16:01:00,0
surprise,17:01:00,0
surprise,18:01:00,32
surprise,19:01:00,44
surprise,20:01:00,90
surprise,21:01:00,64
surprise,22:01:00,32
surprise,23:01:00,16
surprise,0:01:00,16
surprise,1:01:00,42
